course_label,category,note
School Utkarsha Yoga Upgrade,UY/MY/IP,
Seed Grower,,
Shakti Kriya,Shakti,
Smart Excel,,
Special DSN,DSN,
Special Holistic Cooking Program,,
Spine Care TTP,,
Spine Care Yoga Orientation Program,,
SpineCare Yoga and Posture Program for Adults,,
SpineCare Yoga and Posture Workshop - SSRVM School,,
SpineCare Yoga and Posture Workshop for Children,,
Spl AoL Program for Media Professionals,,
Spl AoL Program for Police,,
Spl AoL Program for Revenue Officials,,
Spl Art of Living Program for Doctors,,
Spl Art of Living Program for Medical Support Staff,,
Sri Sri Hatha Yoga Level 1,Sri Sri Yoga,
Sri Sri Hatha Yoga Level 1 - Residential,Sri Sri Yoga,
Sri Sri Hatha Yoga Level 2,Sri Sri Yoga,
Sri Sri Home Gardening,,
Sri Sri Kids Gardening,,
Sri Sri Lemurrian Yoga,Sri Sri Yoga,
Sri Sri Lemurrian Yoga Combo Program,Sri Sri Yoga,
Sri Sri Lemurrian Yoga Part 1,Sri Sri Yoga,
Sri Sri Lemurrian Yoga Part 2,Sri Sri Yoga,
Sri Sri Lemurrian Yoga Part1 2 Days,Sri Sri Yoga,
Sri Sri Lemurrian Yoga Part2 2 Days,Sri Sri Yoga,
Sri Sri Lemurrian Yoga TTP,Sri Sri Yoga,
Sri Sri Marma,,
Sri Sri Marma Practitioners' Training Program,,
Sri Sri Meditation,,
Sri Sri Mushroom Farming,,
Sri Sri Natural Farming,,
Sri Sri Natya Yoga,Sri Sri Yoga,
Sri Sri Yoga Center,Sri Sri Yoga,
Sri Sri Yoga Classes,Sri Sri Yoga,
Sri Sri Yoga Classes for Kids,Sri Sri Yoga,
Sri Sri Yoga Classes for Prenatal and Postnatal Care,Sri Sri Yoga,
Sri Sri Yoga Deep Dive,Sri Sri Yoga,
Sri Sri Yoga Level -1,Sri Sri Yoga,
Sri Sri Yoga Level 1-Certified Teachers,Sri Sri Yoga,
Startup Rekindle,,
Stress Free Exams,,
Sudarshan Chakra Kriya,,
Swasthya Shibir,,
TAOL Yoga and Meditation program for Educators,,
TTC,,
TTP Happiness,TTP Happiness,
TTP Karmayoga,,
TTP MEDHAYOGA,UY/MY/IP,
TTP Rural UYMY,UY/MY/IP,
Tapping your Inner potential for Success,,
Teachers Training Program,,
Technology of Yoga,,
Teens CCP in schools - Immunity Boost And Prevention,,
Teens Covid Care Program - Covid +ve in Home Isolation,,
Teens Covid Care Program - Immunity Boost & Prevention,,
Teens Covid Care Program - Post Covid rehabilitation,,
Test Program Type,,
The Art of Living Kids online,,
The Art of Living Teens online,,
Tlex,,
Training on Bee Keeping,,
Training on Bee Keeping Level 1,,
Training on Bee Keeping Level 2,,
Training on Farm Supervisor,,
Utkarsha Yoga,UY/MY/IP,
VTP,,
VTP Reconnect,,
Vedic Agriculture Workshop,,
Vedic Math Part 1,,
Vedic Math Part 2,,
Vedic Maths,,
WLTP,YLTP/WLTP,
WP-SU - Residential,,
WP-SU Rehabs,,
WP-SU TTP,,
Weekend Retreat,,
Wellness Program,,
Wellness Program TTP,,
Wellness Program for Substance Users,,
Women Wellness Module,,
YES!+,YES+,
YES!+DSN,DSN,
YLTP,YLTP/WLTP,
YLTP TTC,YLTP/WLTP,
YOGA IN BHAGAVAD GITA,,
YPDS,,
Yes!,UY/MY/IP,
Yes! 2,UY/MY/IP,
Yoga For Women,Sri Sri Yoga,
Yoga TTC Level 1,Sri Sri Yoga,
Yoga TTC Level 2,Sri Sri Yoga,
Yoga@work,Sri Sri Yoga,
Yoga@workspace,Sri Sri Yoga,
Yogic Fitness Act I,,
iDrive,,
iExcel Holistic Wellbeing,,
iIntegrate,,
